origin,destination,count
Slovakia,Ecuador,1862
Sierra Leone,Palau,773
San Marino,Dominica,1379
Senegal,Andorra,2443
Somalia,South Africa,2457
Suriname,Liechtenstein,1880
South Sudan,Brazil,3632
Sao Tome and Principe,Colombia,3127
El Salvador,Sao Tome and Principe,3235
Sint Maarten (Dutch part),Iceland,3653
Syria,Japan,97
Swaziland,Gibraltar,2918
Turks and Caicos Islands,Gambia,2779
Chad,Bahrain,4980
French Southern Territories,Slovakia,3639
Togo,Afghanistan,685
Thailand,Vanuatu,3007
Tajikistan,Macedonia,1462
Tokelau,Mali,1483
Timor-Leste,Indonesia,2929
Turkmenistan,Austria,1343
Tunisia,"Palestine, State of",1452
Tonga,Brunei Darussalam,1617
Turkey,Pitcairn,2284
Trinidad and Tobago,Latvia,297
Tuvalu,Sri Lanka,1908
Taiwan,Honduras,4148
Tanzania,Aruba,282
Ukraine,British Indian Ocean Territory,3367
Uganda,Egypt,3955
United States Minor Outlying Islands,Pakistan,4990
United States,Nepal,3486
Uruguay,Liberia,868
Uzbekistan,Sudan,1346
Vatican,Saint Vincent and the Grenadines,710
Saint Vincent and the Grenadines,Lao People's Democratic Republic,4079
Venezuela,Saint Barthélemy,4975
Virgin Islands (British),Czech Republic,4646
Virgin Islands (U.S.),American Samoa,887
Vietnam,Slovenia,1896
Vanuatu,Uzbekistan,63
Wallis and Futuna Islands,Armenia,545
Samoa,Guinea,3546
Yemen,Saudi Arabia,4312
Mayotte,Qatar,4806
South Africa,Christmas Island,1432
Zambia,Denmark,3725
Zimbabwe,United States,1153
Chad,United States,4067
French Southern Territories,United States,4589
Togo,United States,2278
Thailand,United States,1659
Tajikistan,United States,2425
Tokelau,United States,1094
Timor-Leste,United States,929
Turkmenistan,United States,4327
Tunisia,United States,3016
Tonga,United States,3159
Turkey,United States,2708
Trinidad and Tobago,United States,2421
Tuvalu,United States,3962
Taiwan,United States,934
Tanzania,United States,2205
Ukraine,United States,1674
Uganda,United States,2417
United States Minor Outlying Islands,United States,4475
United States,United States,1377
Uruguay,United States,1289
Uzbekistan,United States,1208
Vatican,United States,278
Saint Vincent and the Grenadines,United States,2563
Venezuela,United States,2108
Virgin Islands (British),United States,1828
Virgin Islands (U.S.),United States,3148
Vietnam,United States,4846
Vanuatu,United States,3782
Wallis and Futuna Islands,United States,3402
Samoa,United States,1646
Yemen,United States,2700
Mayotte,United States,2185
South Africa,United States,817
Zambia,United States,1657
Zimbabwe,United States,3911
Chad,United States,4184
French Southern Territories,United States,3167
Togo,United States,2988
Thailand,United States,696
Tajikistan,United States,2522
Tokelau,United States,4749
Timor-Leste,United States,3888
Turkmenistan,United States,3712
Tunisia,United States,4182
Tonga,United States,2194
Turkey,United States,2717
Trinidad and Tobago,United States,4740
Tuvalu,United States,3753
Taiwan,United States,4008
Tanzania,United States,1869
Ukraine,United States,148
Uganda,United States,4317
Uruguay,United States,536
Uzbekistan,United States,1602
Vatican,United States,1972
Saint Vincent and the Grenadines,United States,920
Venezuela,United States,3647
Virgin Islands (British),United States,2266
Virgin Islands (U.S.),United States,3789
Vietnam,United States,299
Vanuatu,United States,2907
Wallis and Futuna Islands,United States,2886
Samoa,United States,4149
Yemen,United States,4793
Mayotte,United States,3918
South Africa,United States,2335
Zambia,United States,3996
Zimbabwe,United States,1221
Indonesia,United States,4714
Ireland,United States,2968
Israel,United States,327
Isle of Man,United States,836
India,United States,1104
British Indian Ocean Territory,United States,2318
Iraq,United States,3169
Iran,United States,486
Iceland,United States,2605
Italy,United States,698
